ACC_Weekend,Weekend
ACC_before8OrAfter5,"Before 8am or After 5pm"
ACC_cashOnDelivery,C.O.D.
ACC_constructionSite,"Construction Site"
ACC_constructionSite_text,"Construction Site"
ACC_conventionCenter,"Convention Center"
ACC_dangerousGoods,"Dangerous Goods"
ACC_declaredValue,"Declared Value"
ACC_detention,Detention
ACC_detentionCharge,Detention
ACC_extraManPower,"Extra Man Power"
ACC_handlingAndSorting,"Handling and Sorting"
ACC_hazardousMaterialCharge,"Hazardous Material"
ACC_hazmat_text,"Hazardous Material"
ACC_indoor60Ft,"Indoor 60 ft"
ACC_insideDeliveryCharge,"Inside Delivery"
ACC_insidePickupCharge,"Inside Pickup"
ACC_insideService_text,"Inside Service"
ACC_liftGateCharge,LiftGate
ACC_liftgate_text,"Lift Gate"
ACC_limitedAccess,"Limited Access"
ACC_limitedAccessCharge,"Limited Access"
ACC_note,"Enter accessorial note"
ACC_otherAccessorialEditText_hint,"Other Accessorial"
ACC_privateHouseDelivery,"Private House Delivery"
ACC_residentialDelivery,"Residential Delivery"
ACC_residentialPickup,"Residential Pickup"
ACC_residential_text,Residential
ACC_segregateAndSort_text,"Segregate and Sort"
ACC_sortAndSeg,"Sort and Seg"
ACC_specifyTime,"Specify Waiting Time"
ACC_tailgate,Tailgate
ACC_title_text,Accessorials
ACC_upstairsDel,"Upstairs Delivery"
ACC_waitingTime,"Waiting Time"
ACF_account_heading,"Great! Almost Done"
ACF_account_heading_two,"Please enter the following information to finish creating your Maven account."
ACF_createAccount,"Create Account"
ACF_creating,Creating…
ACF_informationCheck_descDefaultText,"Mobile Number / Email:"
ACF_informationCheck_descTextEmail,"Email: %1$s"
ACF_informationCheck_descTextMobile,"Mobile Number: %1$s"
ACF_informationCheck_headerText,"Is this information correct?"
ACF_lockIconContentDesc,Privacy
ACF_passwordReenter_hint,"Retype Password"
AMF_loading,Loading…
APICall_addCompanyAsset,https://apigateway.mavenmachines.com/private/mobile/assets/
APICall_addDrivingTrip,https://apigateway.mavenmachines.com/private/mobile/drivingTrip
APICall_app_release_notes,https://apigateway.mavenmachines.com/public/mobile/app-version/release-notes?platform=%1$s&fromVersion=%2$s&toVersion=%3$s
APICall_app_versions_update,https://apigateway.mavenmachines.com/private/mobile/app-version?employeeId=%1$s&platform=%2$s&currentVersion=%3$s
APICall_createUser,https://apigateway.mavenmachines.com/private/mobile/v1/users
APICall_eld_accept_reject_or_cancel_admin_edit,https://apigateway.mavenmachines.com/private/mobile/eld/edits/approval
APICall_eld_check_admin_edit,https://apigateway.mavenmachines.com/private/mobile/eld/edits/pending?employeeId=%s
APICall_eld_config,https://apigateway.mavenmachines.com/private/mobile/eld/config
APICall_eld_dataSync,https://apigateway.mavenmachines.com/private/mobile/eld/datasync
APICall_eld_location,https://apigateway.mavenmachines.com/public/mobile/eld/location?lat=%1$s&lng=%2$s
APICall_eld_request_admin_edit,https://apigateway.mavenmachines.com/private/mobile/eld/edits/request
APICall_eld_sendToFMCSA,https://apigateway.mavenmachines.com/private/mobile/eld/send-to-fmcsa
APICall_eld_suggestedNotes,https://apigateway.mavenmachines.com/private/mobile/eld/suggested-notes?employeeId=%1$s
APICall_emailHOS,https://apigateway.mavenmachines.com/private/mobile/reports/createHOSReport
APICall_forgotPassword,https://apigateway.mavenmachines.com/private/mobile/v1/users/forgotPassword
APICall_getCompanyAssets,https://apigateway.mavenmachines.com/private/mobile/assets?companyId=%1$s&lastUpdated=%2$s&assetType=%3$s
APICall_getEmployee,https://apigateway.mavenmachines.com/private/mobile/v1/employee?hrId=%1$s&companyId=%2$s
APICall_getMavenTime,https://apigateway.mavenmachines.com/public/mobile/maventime
APICall_getPermissions,https://apigateway.mavenmachines.com/private/mobile/v2/employee?employeeId=%1$s
APICall_getUser,https://apigateway.mavenmachines.com/private/mobile/users/%s
APICall_login,https://apigateway.mavenmachines.com/private/mobile/v1/users/login
APICall_logout,https://apigateway.mavenmachines.com/private/mobile/v1/users/logout
APICall_post,http://api.mavenmachines.com/post
APICall_resetPassword,https://apigateway.mavenmachines.com/private/mobile/v1/users/resetPassword
APICall_sendEmail,https://apigateway.mavenmachines.com/private/mobile/emails
APICall_updateCompanyAsset,https://apigateway.mavenmachines.com/private/mobile/assets/%s
APICall_updateDriverProfileInformation,https://apigateway.mavenmachines.com/private/mobile/users/%s
APICall_updateDrivingTrip,https://apigateway.mavenmachines.com/private/mobile/drivingTrip/%s
APICall_verifySignupCode,https://apigateway.mavenmachines.com/private/mobile/v1/users/verifySignupCode
AUF_autoSignOutToast,"Automatically logged out due to invalid session"
AUF_forgot_password,"<u>Forgot your Password?</u>"
AUF_help_support,"<u>Help & Support</u>"
AUF_logoutExplanationAutomatic,"You've been automatically logged out."
AUF_logoutExplanationManual,"You've been logged out."
