VHF_paragraph4,"1. Ensure you have Bluetooth and Wi-Fi turned on
\n\n2. If accessible, disconnect and reconnect the vehicle adapter
\n\n3. Reset the Maven App. Clearing your data will log you out of the Maven App. Make sure you remember your username and password!
\n\n4. Contact the Maven Driver Success Team at 412-499-3877.","1. Asegúrate de tener Bluetooth y Wi-Fi activados
\n\n2. Si está accesible, desconecte y vuelva a conectar el adaptador del vehículo
\n\n3. Restablezca la aplicación Maven. Borrar sus datos lo desconectará de la aplicación Maven. ¡Asegúrate de recordar tu nombre de usuario y contraseña!
\n\n4. Comuníquese con el equipo de Maven Driver Success al 412-499-3877.",,
MDQU_failed_with_count,%1$d images not uploaded. \,%1$d no se subieron las imágenes. \,,
CUDEF_drivesCountAndMilesText,%1$d movements  %2$.2f miles \,%1$d movimientos  %2$.2f millas \,,
TNF_PD_stopMergedContentText,%1$d stops merged into %2$s \,%1$d se unieron las paradas en %2$s \,,
TNF_PD_stopMergedContentText,%1$d stops merged into %2$s \,%1$d se unieron las paradas en %2$s \,,
CF_validBarcodesFound,%1$s %2$s found \,%1$s %2$s encontrado \,,
map::routeActionsModal::numSelected,"%1$s $t(common:route, \{\\count\\: %1$s \}) selected \","%1$s $t(común:ruta, \{\\cuenta\\: %1$s \}) seleccionada \",,
toastMessages::syncedRoutesConfirmation,"%1$s $t(common:route, \{\\count\\: %1$s \}) successfully %1$s \","%1$s $t(común:ruta, \{\\cuenta\\: %1$s \}) con éxito %1$s \",,
hard_brake_speech,%1$s brake detected. %2$.2f miles per hour per second \,%1$s freno detectado. %2$.2f millas por hora por segundo \,,
ELDEVF_violationsList_breakViolationTitle,%1$s Break Needed \,%1$s Se necesita frenar \,,
ELDEVF_violationsList_cycleViolationTitle,%1$s Cycle Time Exceeded \,%1$s Se excedió el ciclo de tiempo \,,
mapaddLoadshipmentDateTimeLabel,%1$s Date and Time \,%1$s Día y hora \,,
overlays::sameDaynumDeliveriesSuccessfullyCreated,%1$s deliveries successfully created \,%1$s se crearon las entregas exitosamente \,,
core_workflow_notification_message_trip_modified,%1$s has been modified \,%1$s ha sido modificado \,,
core_workflow_notification_message_stop_removed,%1$s has been Removed \,%1$s ha sido eliminado \,,
core_workflow_notification_message_trip_removed,%1$s has been removed \,%1$s ha sido eliminado \,,
grid::routeInstancestopsHidden,%1$s hidden stop \,%1$s parada escondida \,,
grid::unassignedStopsstopsHidden,%1$s hidden stop \,%1$s parada escondida \,,
grid::routeInstancestopsHidden_other,%1$s hidden stops \,%1$s paradas escondida \,,
grid::routeInstancestopsHidden_plural,%1$s hidden stops \,%1$s paradas escondida \,,
grid::unassignedStopsstopsHidden_other,%1$s hidden stops \,%1$s paradas escondida \,,
gridunassignedStopsstopsHidden_plural,%1$s hidden stops \,%1$s paradas escondida \,,
PDPSHC_infoTab_title,%1$s INFORMATION \,%1$s INFORMACIÓN \,,
stopsPanelstringOf,%1$s of %1$s \,%1$s de %1$s \,,
PDSD_stopDetails_palletInfo,%1$s pallets \,%1$s plataformas \,,
VNF_remaining,%1$s remaining \,%1$s restantes \,,
TNF_PD_stopRemovedContentText,%1$s removed from route \,%1$s eliminado de la ruta \,,
PDSD_stopDetails_shipmentsInfo,%1$s shipments \,%1$s envíos \,,
gridstagedStopsListnumOfStagedStops,%1$s Staged Stop \,%1$s Parada en espera \,,
overlays::routeOverlaynumOfStagedStops,%1$s Staged Stop \,%1$s Parada en espera \,,
gridstagedStopsListnumOfStagedStops_other,%1$s Staged Stops \,%1$s Paradas en espera \,,
gridstagedStopsListnumOfStagedStops_plural,%1$s Staged Stops \,%1$s Paradas en espera \,,
overlays::routeOverlaynumOfStagedStops_other,%1$s Staged Stops \,%1$s Paradas en espera \,,
overlays::routeOverlaynumOfStagedStops_plural,%1$s Staged Stops \,%1$s Paradas en espera \,,
overlays::stopOverlayassignmentDetailsstopsAway_more,%1$s Stop away \,%1$s Parada separada \,,
TNF_PD_stopCancelledContentText,%1$s stop canceled \,%1$s parada cancelada \,,
TNF_PD_stopCancelledContentText,%1$s stop canceled \,%1$s parada cancelada \,,
TNF_PD_stopModifiedContentText,%1$s stop modified \,%1$s parada modificada \,,
TNF_PD_stopModifiedContentText,%1$s stop modified \,%1$s parada modificada \,,
TNF_PD_stopSplitContentText,%1$s stop split into 2 stops \,%1$s parada dividida en 2 paradas \,,
TNF_PD_multipleStopsAddedContentText,%1$s stops added to route \,%1$s paradas agregadas a la ruta \,,
overlays::stopOverlayassignmentDetailsstopsAway_more_other,%1$s Stops away \,%1$s Paradas de distancia \,,
overlays::multiStopOverlay::stopSelectedText,%1$s Stops Selected \,%1$s Paradas Seleccionadas \,,
DriverDash_violation,%1$s TIME VIOLATION \,%1$s VIOLACIÓN DE TIEMPO \,,
VNF_violationTitle,%1$s Time Violation: \,%1$s Violación de Tiempo: \,,
DriverDash_violationWarning,%1$s TIME WARNING \,%1$s AVISO DE TIEMPO \,,
VNF_warningTitle,%1$s Time Warning: \,%1$s Aviso de tiempo: \,,
CUTF_tripLocationText,%1$s to %2$s \,%1$s a %2$s \,,
UDNL_notificationBodyText,%1$s today. %2$s this past week. \,%1$s hoy. %2$s la semana pasada. \,,
inbound::sideBarnumOfTrailers,%1$s trailers \,%1$s tráileres \,,
DriverDash_partnerEtaText,%1$s's %2$s %3$s \,%1$s's %2$s %3$s \,,
helpersreportBugFormnumOfCharacters,%1$s/%1$s characters \,%1$s/%1$s caracteres \,,
utilBarfilterRoutesDisplay,%1$s/%1$s Routes \,%1$s/%1$s Rutas \,,
utilBarfilterStopsDisplay,%1$s/%1$s Stops \,%1$s/%1$s Paradas \,,
string_format_pattern_two_without_space,%1$s%2$s \,%1$s%2$s \,,
TNF_PD_stopAddedContentText,%1$s<br>%2$s miles away \,%1$s<br>%2$s a millas de distancia \,,
tenMinuteBreak,10 MIN BREAK \,10 MIN DESCANSO \,,
timelineEventName_tenMinuteBreak,10 Min Break \,10 Min Descanso \,,
timelineEventDefaultText,10 Min Break<br> \,10 Min Descanso <br> \,,
EldTimer_titleDrive_long,11 Hour Drive \,11 Hora de manejo \,,
ELDTF_SH_shift_timer_single_title,12 Hour Shift \,12 Hora de Turno \,,
EldTimer_titleShift_long,14 Hour Shift \,14 Hora de Turno \,,
ELDEXEP_16HoursShortTitle,16 Hour \,16 Hora \,,
ELDEXEP_16HoursLabelText,16 Hour Exception \,16 Excepción de Hora \,,
ELDEXEP_SHExceptionNteHint,16 Hour Exception Note \,16 Nota de Excepción de Hora \,,
DOTDHF_dateInformation_24PeriodStartingTimeKey,24-Period Starting Time \,24-Tiempo de Inicio del Periodo \,,
trip_history_day_range,\\30 Day Range:  %1$s - TODAY %2$s\\ \,\\Rango de 30 Day Días:  %1$s - HOY %2$s\\ \,,
ELDEVF_violationsList_breakTime_US70HR,30 Minute \,30 Minutos \,,
EldTimer_titleBreak_long,30 Minute Break \,Descanso de 30 Minutos \,,
ELDVN_30Minute,30 minutes \,30 minutos \,,
CL_halfHourAlert_ten_inapp_first,30 Minutes left<br>Break soon! \,Quedan 30 Minutos <br>Descanso pronto! \,,
tenBreakTimeToBreakPlaceholder,3h 59m \,3h 59m \,,
thirdPartyDetailsthirdParty,3rd Party \,Un 3ero \,,
thirdPartyDetailsaddress,3rd Party Address \,Dirección del 3ero \,,
thirdPartyDetailscontactEmail,3rd Party Contact Email \,Correo electrónico del 3ero \,,
thirdPartyDetailscontactName,3rd Party Contact Name \,Nombre del 3ero \,,
thirdPartyDetailscontactPhone,3rd Party Contact Phone \,Número de teléfono del 3ero  \,,
thirdPartyDetailstitle,3rd Party Details \,Detalles del 3ero \,,
thirdPartyDetailsname,3rd Party Name \,Nombre del 3ero \,,
thirtyBreakTimeToBreakPlaceholder,4h 59m \,4h 59m \,,
ELDEVF_violationsList_cycleTime_US70HR,70 Hour \,70 Hora \,,
