ACC_Weekend,"Fin de Semana"
ACC_before8OrAfter5,"Antes de las 8am o después de las 5pm"
ACC_cashOnDelivery,"C.O.D."
ACC_constructionSite,"Sitio de construcción"
ACC_constructionSite_text,"Sitio de construcción"
ACC_conventionCenter,"Centro de Convenciones"
ACC_dangerousGoods,"Mercancías peligrosas"
ACC_declaredValue,"Valor Declarado"
ACC_detention,"Detención"
ACC_detentionCharge,"Detención"
ACC_extraManPower,"Apoyo de personal adicional"
ACC_handlingAndSorting,"Manipulación y Clasificación"
ACC_hazardousMaterialCharge,"Material Peligroso"
ACC_hazmat_text,"Material Peligroso"
ACC_indoor60Ft,"Interior 60 pies"
ACC_insideDeliveryCharge,"Entrega Interior"
ACC_insidePickupCharge,"Recolección Interior"
ACC_insideService_text,"Servicio Interior"
ACC_liftGateCharge,"Puertalevadiza"
ACC_liftgate_text,"Puerta Levadiza"
ACC_limitedAccess,"Acceso Limitado"
ACC_limitedAccessCharge,"Acceso Limitado"
ACC_note,"Ingrese la nota adicional"
ACC_otherAccessorialEditText_hint,"Otro Accesorio"
ACC_privateHouseDelivery,"Entrega a domicilio particular"
ACC_residentialDelivery,"Entrega Domiciliaria"
ACC_residentialPickup,"Recolección residencial"
ACC_residential_text,"Residencial"
ACC_segregateAndSort_text,"Segregar y ordenar"
ACC_sortAndSeg,"Ordenar y Seg"
ACC_specifyTime,"Especificar Tiempo de Espera"
ACC_tailgate,"Portón trasero"
ACC_title_text,"Accesorios"
ACC_upstairsDel,"Entrega arriba"
ACC_waitingTime,"Tiempo de espera"
ACF_account_heading,"¡Excelente! Casi termino"
ACF_account_heading_two,"Por favor ingrese la siguiente información para terminar de crear su cuenta Maven."
ACF_createAccount,"Crear una Cuenta"
ACF_creating,"Creando…"
ACF_informationCheck_descDefaultText,"Número de Celular / Correo electrónico:"
ACF_informationCheck_descTextEmail,"Correo electrónico: %1$s"
ACF_informationCheck_descTextMobile,"Número de Celular: %1$s"
ACF_informationCheck_headerText,"¿Es correcta esta información?"
ACF_lockIconContentDesc,"Privacidad"
ACF_passwordReenter_hint,"Vuelva a escribir la contraseña"
AMF_loading,"Cargando …"
APICall_addCompanyAsset,"https://apigateway.mavenmachines.com/private/mobile/assets/"
APICall_addDrivingTrip,"https://apigateway.mavenmachines.com/private/mobile/drivingTrip"
APICall_app_release_notes,"https://apigateway.mavenmachines.com/public/mobile/app-version/release-notes?platform=%1$s&fromVersion=%2$s&toVersion=%3$s"
APICall_app_versions_update,"https://apigateway.mavenmachines.com/private/mobile/app-version?employeeId=%1$s&platform=%2$s&currentVersion=%3$s"
